Name,Equation number,Model - old table,Model,Input variable,Output variables,Equation shape,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name,Number of equations
Net present cost of dryland loss,SLR.12,FUND v.3.8,FUND v.3.8,"Time,Region,Current dryland loss without protection at time ,Current dryland value ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of dryland value , Current income density growth rate ",Net present value of dryland loss at time ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=15&annotation=S6374B6G))  ,Loss in terrestrial ecosystem,", Natural capital, GDP, Parameter, Consumption",,"{\mathrm{NPV}}U_{t,r}=\sum_{s=t}^{\infty}{\overline{{D}}}_{t,r}V D_{t,r}\left({\frac{1+\epsilon d_{t,r}}{1+\rho+\eta g_{t,r}}}\right)^{s-t}={\overline{{D}}}_{t,r}V D_{t,r}{\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}-\epsilon d_{t,r}}}\ .",Oui,,
Ecosystem loss,E.1,FUND v.3.8,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Change in regional mean temperature ,Number of species ,Parameter ,Parameter ,Parameter ,Parameter for number of species ",Value of the loss of ecosystems at time ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=USHT735A))  ,Loss in terrestrial ecosystem,", GDP, Population, Temperature",,"E_{t,r}=\alpha P_{t,r}{\frac{y_{t,}^{\prime}{\cal Y}_{y}^{b}}{1+{\bf y}_{t,r}{\cal Y}_{y,r}}}{\frac{\Delta{\cal T}_{r}}{1+{\bf\bar{\Delta}}{2}{\cal Y}_{\tau}^{\prime}}}\bigg(1-\sigma+\sigma{\frac{B_{0}}{B_{t}^{\prime}}}\bigg)",Oui,,
Number of species,E.2,FUND v.3.8,FUND v.3.8,"Number of species ,Parameter ,Parameter ,Change in regional mean temperature ",Number of species ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=C8CYP6ED))  ,Loss in terrestrial ecosystem,", Temperature",,"S H_{t,r}=\alpha_{r}Y_{1990,r}\frac{\mathrm{atan}\,T_{t}}{\mathrm{atan}\,1.0}\biggl(\frac{y_{t,r}}{y_{1990,r}}\biggr)^{\epsilon}\biggl(\frac{P_{t,r}}{P_{1990,r}}\biggr)^{\epsilon}\biggl\langle\prod_{s=19900}^{t}\biggr\}^{\epsilon}\frac{\ln^{2}{\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\pi^{2}\rangle_{t}}\,\biggl(\frac{y_{t,r}}{p_{t}-\epsilon_{r}^{2}\sqrt{2\pi_{t}\pi_{t}}^{2}\biggr)^{2}}{\epsilon_{t}^{2}-\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}\pi_{t}^{2}-\biggl)_{t}^{2}}_{t}\,{\epsilon_{t}{t}{t}{\mu}}\,\biggr)\,\,\rho_{\biggr)\,\,\frac{t}\,\biggl(\biggr",Oui,,
Human health : diarrhoea,HD.1,FUND v.3.8,FUND v.3.8,"Region,Population in region r at time t ,Time,Gross domestic product per capita,Regional mean temperature in degrees Celsius ,Rate of mortality from diarrhoea in 2000 in region r ,Income elasticity of diarrhoea mortality ,Parameter for non-linearity of response of diarrhoea mortality to regional warming ",Number of additional diarrhoea deaths ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=16&annotation=IVEG9QJP))  ,"Food-borne diseases,Water-borne diseases",", Population, GDP, Temperature, Mortality",,"D_{t,r}^{d}=\mathcal{A}_{r}^{d}P_{t,r}\left(\frac{\mathcal{V}_{t,r}}{\mathcal{V}_{1990,r}}\right)^{s}\left(\frac{T_{t,r}}{\mathcal{V}_{p r e-i n d u s t r i a l,r}}\right)^{p}",Oui,,
Human health : vector-borne diseases,HV,FUND v.3.8,FUND v.3.8,"Climate-change-induced mortality due to disease c in region r at time t ,Mortality from vector-borne diseases in 1990 in region r ,Time,Region,Vector borne disease,Parameter indicating benchmark impact of climate change on vector-borne diseases ,Regional mean temperature in degrees Celsius ,Gross domestic product per capita,Change in regional mean temperature,Parameter for degree of non-linearity of mortality in warming ,Income elasticity of vector-borne mortality ",Number of additional deaths from vector-borne diseases ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=17&annotation=XNSE353L))  ,Infectious diseases,", Temperature, GDP",,"D_{t,r}^{\nu}=D_{1990,r}^{\nu}Q_{r}^{\nu}\left(T_{t}-T_{1990}\right)^{\beta}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\gamma}",Oui,,
Human health : cardiovascular and respiratory mortality,HC.1,FUND v.3.8,FUND v.3.8,"Index for the disease ,Current temperature of the hottest or coldest month in the country ",Change in mortality due to one degree global warming ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=CL2YMIC5))  ,Extreme heat,,Mortality,{\cal D}^{c}=\varrho^{c}+\beta^{c}{\cal I}_{\cal B},Oui,,
Human health : regional cardiovascular mortality,HC.2,FUND v.3.8,FUND v.3.8,"Region,Time,Change in regional mean temperature",Climate-change-induced mortality due to disease c in region r at time t ,,Quadratic,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=18&annotation=AWVUZ27W))  ,Extreme heat,", Temperature",,"D_{t,r}^{c}=\alpha_{r}^{c}T_{t}^{2}+\beta_{r}^{c}T_{t}^{2}",Oui,,
Human health : heat-related mortality,HC.3,FUND v.3.8,FUND v.3.8,"Gross domestic product per capita,Population density ,Time,Region",Fraction of people living in cities ,,,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=BCCGDXPN))  ,Extreme heat,"GDP, Population, ",Population,"U_{t,r}=\frac{\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}{1+\alpha\sqrt{y_{t,r}}+\beta\sqrt{P D_{t,r}}}",Oui,,
Extreme weather : tropical storms damage,TS.1,FUND v.3.8,FUND v.3.8,"Time,Region,GDP in region r at time t ,Current damage as a fraction of GDP ,Gross domestic product per capita,Income elasticity of storm damage ,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ",Damage due to tropical storms in region r at time t ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=19&annotation=TNF9KWNC))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", GDP, Wind, Temperature",GDP,"T D_{t,r}=\sigma_{r}Y_{t,r}\left(\frac{\vartheta_{t,r}}{\vartheta_{1990,r}}\right)\left[\left(1+\rlap{\textstyle{\mathcal{D}}}{\mathcal{D}}_{t,r}\right)^{\gamma}-1\right]",Oui,,
Extreme weather : tropical storm mortality,TS.2,FUND v.3.8,FUND v.3.8,"Time,Region,Population in region r at time t ,Current mortality as a fraction of population ,Gross domestic product per capita,Parameter indicating how much wind speed increases per degree warming ,Change in regional mean temperature,Parameter for the power of the wind in the cube of its speed ,Income elasticity of storm damage ",Mortality due to tropical storms in region r at time t ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=20&annotation=27WRANPN))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors",", Population, GDP, Wind, Temperature",Mortality,"T M_{t,r}=\beta_{r}P_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\eta}\left[\left(1+\rlap/\partial T_{t,r}\right)^{\gamma}-1\right]",Oui,,
Extratropical storms damage,ETS.1,FUND v.3.8,FUND v.3.8,"GDP in region r at time t ,Benchmark damage from extratropical cyclones for region r ,Gross domestic product per capita,Income elasticity of extratropical storm damages ,Storm sensitivity to atmospheric CO2 concentrations for region r ,Atmospheric CO2 concentrations ,Pre-industrial concentration of CO2",Damage from extratropical cyclones at time t in region r ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=21&annotation=UL22ZER4))  ,"Inland flooding,Coastal flooding / storm,Damages to infrastructure,Damages to key economic sectors","GDP, , Wind, CO2 concentration",GDP,"{\cal E}T\!D_{t,r}={\cal Q}_{r}Y_{t,r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\varepsilon}\left[\left(\frac{C_{C O2,t}}{C_{C O2,p r e}}\right)^{\gamma}-1\right]",Oui,,
